Código,Nome,CNPJ
DUNAMIS,DUNAMIS FLY CORRETORA DE SEGUROS LTDA,11316410000162
BUSCHINE,BUSCHINELLI CONSULTORIA EM NUTRICAO LTDA,11363931000170
BARROSAR,BARROS & ARAUJO - CORRETORA DE SEGUROS LTDA,11457731000187
SADISEHN,SADI A. SEHN SERVICOS ADMINISTRATIVOS,11506777000149
MAXITRAD,MAXITRADER - CORRETORA E ADMINISTRADORA DE SEGUROS LTDA,11533045000148
CONCRE,CONCRETTIZE HOLDING E PARTICIP,11554048000168
EAGLE,"EAGLE FOCUS TREINAMENTOS E DESENVOLVIMENTO HUMANO, PROFISSIONAL E GERENCIAL LTDA",11571473000165
ADSERRAN,AD SERRANO ENGENHARIA EIRELI,11614509000140
PRECO,4U LIFE & HEALTH PLATFORM BROKERS CORRETORA DE SEGUROS E BENEFICIOS LTDA.,11667556000152
UPHOLDAS,UPHOLD ASSESSORIA CONTABIL LTDA,11679688000102
NOVA ARCA,NOVA ARCA ADMINISTRAÇÃO E CORRETAGEM DE SEGUROS LTDA,11787431000166
BENECORP,BENECORP CORRETORA DE SEGUROS E BENEFICIOS LTDA.,11969424000185
J B L,J B L SEGUROS EIRELI,11977844000103
RESTART,RESTART CORRETORA DE SEGUROS LTDA,12102270000192
JORGE,JORGE & BEZERRA CORRETORA DE SEGUROS LTDA.,12163871000105
CBS,CBS COURRIER LTDA,12395207000191
ERICKA,ERICKA MAYRA DE MONTI,12456013000159
ZEIN,ZEIN ASSESSORIA EIRELI,12481661000165
PHOENIX,UP PHOENIX ASSESSORIA E CORRETORA DE SEGUROS LTDA,12483430000190
MZF,MZF IMPERIAL CORRETORA DE SEGUROS LTDA,12534809000182
MADASILV,M A DA SILVA DESENVOLVIMENTO GERENCIAL,12542680000154
CLAYTON,CLAYTON DE A.MC CECCI SERVICOS ADMINISTRATIVOS,12729076000131
REGINALDO,REGINALDO F. DOS SANTOS CORRETORA DE SEGUROS,12782197000147
HOTSEG,HOTSEG CORRETORA E ADMINISTRADORA DE SEGUROS LTDA,12995282000193
CRGUEIRO,C&R GUEIROS SERVICOS ADMINISTRATIVOS LTDA.,13090045000146
LIFECROS,LIFE CROSS CORRETORA DE SEGUROS DE VIDA LTDA,13218252000133
IVETE,IVETE OGI CONSULTORIA & CORRETAGEM DE SEGUROS EIRELI,13350809000195
LUZAN,ZANIA & LUCIA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,13417856000109
CARLOS,CARLOS C FERREIRA DESENVOLVIMENTO GERENCIAL,13431199000154
ANCLACOM,ANCLA COMERCIAL E SERVICOS LTDA,13456729000119
FAQSEG,FAQSEG CORRETORA DE SEGUROS LTDA,13646688000123
FERNAND,FERNANDO NUNES DOS SANTOS ARAUJO,13677691000104
ACDECAMP,A C DE CAMPOS RAMOS SERVICOS ADMINISTRATIVOS,13696934000151
ACTUS,ACTUS CORRETORA DE SEGUROS LTDA,13751701000104
TATIANE,TATIANE N. DOS SANTOS - ARQUITETA,13873824000118
BMMFPROJ,BMMF CONSTRUCOES & NEGOCIOS IMOBILIARIOS LTDA.,13924073000111
OIBE,OIBE INTERNET MARKETING - EIRELI,14142346000139
TORAO,TORAO DECORACAO LTDA,14215022000183
DINELLI,DINELLI CORRETAGEM DE SEGUROS LTDA,14575908000138
NAVEEN,NAVEEN CORRETORA DE SEGUROS LTDA,14644719000170
NAJACA,NAJACA DESIGN & COMUNICACAO LTDA,14660903000103
MAURI,MAURI AMARO FERNANDES - SUVENIRES,14826034000144
MAURI FILIAL,MAURI AMARO FILIAL,14826034000225
PSENGENH,P.S. PEREIRA ENGENHARIA,14897909000107
ATANER,ATANER - ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,15047192000169
SIMONE PEREIRA,SIMONE PEREIRA DA SILVA CONSULTORIA E CORRETAGEM DE SEGUROS,15108108000170
CPARQUE,C.PARQUE CORRETORA DE SEGUROS - EIRELI,15195768000135
EXCELENC,EXCELENCIA N.A. CORRETAGEM DE SEGUROS LTDA,15358446000160
SOLUT,SOLUT TUERI CONSULTORIA E CORRETORA DE SEGUROS LTDA,15400394000142
BRUNO CHIEFFI,BRUNO CHIEFFI AAGAARD,15471332000121
VMAX,V MAX CORRETORA DE SEGUROS LTDA,15713251000190
LHPROTEG,LH PROTEGE CORRETORA DE SEGUROS EIRELI,15777910000152
SERVICE,SERVICE BROKER ASSESSORIA TECNICA EM SEGUROS EIRELI,16629702000179
PRINCEMI,PRINCE MILANELLO CONSULTORIA E CORRETORA DE SEGUROS LTDA.,16853001000119
EDMUNDO,EDMUNDO BELMONTE BASILIO,17310226000191
OCTAVIAN,OCTAVIANI CORRETORA DE SEGUROS LTDA,17338390000107
PLANNIN,PLANNIN CORRETORA DE SEGUROS EIRELI,17542042000157
E2BRASIL,E2 BRASIL CORRETORA E ADMINISTRADORA DE SEGUROS LTDA,17601796000130
BRUTHA,BRUTHA EMPREENDIMENTOS IMOBILIARIOS EIRELI,17706204000145
BARATA & NORONHA,BARATA & NORONHA CORRETORA DE SEGUROS LTDA,17762617000147
ASD,ASD CORRETORA DE SEGUROS LTDA,17961992000116
MOURAZAN,MOURA & ZANDONADI CONSULTORIA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,18304660000121
ARQPRETA,ARQ. P. PRETA CONSTRUCOES LTDA,18417541000185
MARIOKAD,MARIO OKADA,18548754000146
VIABENS,VIABENS CORRETORA DE SEGUROS LTDA,18679727000102
BASTIDOR,BASTIDOR DIGITAL LTDA,18780006000194
ALLINE MARQUES,ALLINE MARQUES NUNES BLANCO PRODUCAO CINEMATOGRAFICA,18817183000106
CWAMERIC,C W AMERICA CONSULTORIA E CORRETORA DE SEGUROS LTDA,18863260000156
CEPAG,LOJA DOS SEGUROS CORRETORA DE SEGUROS - EIRELI,19056569000105
CARLOSBO,CARLOS BONNA - CORRETORA DE SEGUROS - EIRELI,19108537000106
TEAMBROK,TEAM BROKERS CONSULTORIA E CORRETAGEM DE SEGUROS LTDA,19123227000152
ADRIANAV,ADRIANA VECHIATO TAMASHIRO,19238852000140
AGV,AGV CORRETORA DE SEGUROS LTDA.,19376574000197
CAVALCANTI´S,CAVALCANTI´S CORRETORA DE SEGUROS LTDA,19438645000139
ROCHA & ROCHA,ROCHA & ROCHA CORRETORA DE SEGUROS E GESTAO FINANCEIRA - EIRELI,19623620000105
BEMMAIS,BEM MAIS CORRETORA DE SEGUROS LTDA,19669073000107
EDUAN,EDUAN - ASSESSORIA E CORRETORA DE SEGUROS LTDA,19923693000112
LARAPONT,LARA PONTES SANCHES,19985148000150
PORTOGER,PORTO GERADORES LTDA,20056820000102
CTRENDS,C-TRENDS BPO LOGISTICA E TELEATENDIMENTO EIRELI,20056828000179
OWN,OWN ASSESSORIA EM SEGUROS - EIRELI,20103562000178
GODBLESS,GOD BLESS CORRETORA DE SEGUROS LTDA,20103747000182
OMARSEG,OMARSEG CORRETORA DE SEGUROS LTDA,20201499000102
JCCARVAL,JC CARVALHO CORRETORA DE SEGUROS LTDA,20241435000135
RAQUEL,RAQUEL CORONA DE SOUZA - CORRETAGEM DE SEGUROS,20275729000188
GENGREEN,GENERAL GREEN ALIPERTI & RIVERA REVESTIMENTO LTDA,20474080000124
ARON,ARON CONSULTORIA E TELEFONIA - EIRELI,20486558000136
CASEADO,RAFS CASEADO E CONFECCOES - EIRELI,20493642000187
DEFINA,DEFINA CORRETORA DE SEGUROS LTDA,20586139000176
ALIPERTI,ALIPERTI ARQUITETURA LTDA,20611205000110
IRM,I R M DI MONACO CORRETORA DE SEGUROS,20782337000105
GP,GP CORRETORA DE SEGUROS LTDA,21060350000113
ANDREA DE LIMA,ANDREA DE LIMA SOCIEDADE INDIVIDUAL DE ADVOCACIA,21097350000198
MEGAMARC,MEGAMARCO - CORRETORA DE SEGUROS LTDA,21189260000127
SEIDL,SEIDL CONSULTORIA E CORRETAGEM DE SEGUROS - EIRELI,21294887000148
UPLESTE,UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA.,21466182000160
ENGAGE,ENGAGE CORRETORA DE SEGUROS E ASSOCIADOS LTDA,21474453000120
BONANCA CORRETORA,BONANCA CORRETORA DE SEGUROS LTDA,21489347000110
MELHOR,MELHOR CONSULTORIA E CORRETORA DE SEGUROS - EIRELI,21489738000134
PISE4,PISE4 TECNOLOGIA DA INFORMACAO LTDA.,21512459000144
CELKAR,CEL KAR CONSULTORIA E CORRETORA DE SEGUROS LTDA,21574500000107
FACES,FACES APOIO ADMINISTRATIVO LTDA,21666455000110
HLM,HLM CORRETORA DE SEGUROS - EIRELI,21711258000176
SELAR,SELAR SEGURANCA ELETRONICA EIRELI,21771359000132
SOUZAMAR,SOUZA MARTINS CORRETORA DE SEGUROS - EIRELI,21826015000183
SHIMABUK,SHIMABUKURO E COLAPIETRO SOCIEDADE DE ADVOGADOS,21894101000123
AMR,AMR SERVICOS MEDICOS EIRELI:21919096000166,21919096000166
ABCD,EIDOCS - ELABORACAO INTELIGENTE DE DOCUMENTOS - EIRELI,21994846000164
CELIJANU,CELI JANUNCELLI DE SOUZA,21997778000197
SEGCAVIC,SEGUROS CAVICHIOLI ADMINISTRADORA E CORRETORA - EIRELI,22155995000100
MMV,MMV CORRETAGEM DE SEGUROS E SERVICOS LTDA,22228476000117
ACENOS,ACENOS CORRETORA DE SEGUROS LTDA,22320184000100
MARIA FERNANDA,MARIA FERNANDA CALDEIRA RIBEIRO,22474577000178
QUERZIA,QUERZIA MILHOMENS DE SOUZA 11890553840,22478138000133
ANDRESSA,ANDRESSA DE LIMA RIBEIRO 29199238896,22646078000110
ENDOCARE,ENDOCARE ESPECIALIDADES MEDICAS LTDA,22676038000111
POSITTIV,POSITTIVA APOIO ADMINISTRATIVO LTDA,22721566000145
PLENTYNO,PLENTY SEG CORRETORA E ADMINISTRADORA DE SEGUROS LTDA,22743767000143
LUZANADM,LUZAN ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,22773685000141
ECCOSEG,ECCOSEG ADMINISTRADORA E CORRETORA DE SEGUROS DE VIDA LTDA,23160227000108
MARCOS,MARCOS V. G. MILAN CONSULTORIA FINANCEIRA,23228303000161
DIRECTA,INOVA SINDICO PROFISSIONAL - EIRELI,23299325000112
AIE,AIE TOMBOLATO DE FARIA RIBEIRO ARQUITETURA DE INTERIORES,23457935000105
WALDIR,WALDIR CAVICHIOLI CORRETORA DE SEGUROS,23472006000167
VIP,VIP CORRETORA DE SEGUROS LTDA,23586012000145
AGENCOR,AGENCOR AGENCIA E CORRETORA DE SEGUROS LTDA.,23686526000172
JMA,JMA CORRETORA DE SEGUROS - EIRELI,23789028000155
JGSAMEN,JG SALMEN CORRETORA DE SEGUROS LIMITADA,23805319000190
NOVABOZZ,NOVA BOZZO CORRETORA DE SEGUROS EIRELI,23807276000181
VITAL,VITAL GROUP GESTORA E CORRETORA DE SEGUROS LTDA,23828422000155
EPROTEGE,EPROTEGE CORRETORA DE SEGUROS EIRELI,23871326000190
CASESBRO,CASES BROKER ASSESSORIA EM SEGUROS LTDA.,23902983000157
ABI,ABI CONSULTORIA E CORRETAGEM DE SEGUROS LIMITADA,24101913000162
AIO,AIO CORRETORA DE SEGUROS E BENEFICIOS LTDA,24173640000161
JPIRES,JPIRES CORRETORA DE SEGUROS EIRELI,24301216000155
CREPASOL,CREPALDI SOLUTIONS TECNOLOGIA EIRELI,24302514000160
BRUNO,BRUNO NOGUEIRA DA SILVA SERVICOS MEDICOS EIRELI,24604251000143
LT,L & T SERVICOS MEDICOS LTDA,24604976000131
RGCORRET,R & G CORRETORA E ADMINISTRADORA DE SEGUROS E PLANOS DE SAUDE LTDA,24682499000122
UPALPHAV,UPHOLD NEGOCIOS E SOLUCOES LTDA.,24742542000106
CGSEG,CGSEG CORRETORA DE SEGUROS LIMITADA,24819171000105
SIAMAR,SIAMAR CONSULTORIA E CORRETORA DE SEGUROS LTDA,24822128000107
PAMESEG,PAMESEG CORRETORA DE SEGUROS - EIRELI,24855491000110
STALBERG,STALBERG CORRETORA DE SEGUROS - EIRELI,24855522000133
VMAC,VMAC CORRETORA DE SEGUROS - EIRELI,24940950000164
3E,3E CORRETORA DE SEGUROS - EIRELI,24940960000108
RW,RW INCENDIO LTDA.,25016068000190
AGENAJAC,AGENCIA NAJACA MARKETING E COMUNICACAO - EIRELI,25055878000155
FCB,FCB SERVICOS ADMINISTRATIVOS EIRELI,25058639000159
MAKER,MAKER CORRETORA DE SEGUROS - EIRELI,25079198000171
FERNANDE,FERNANDES PRADO CORRETORA DE SEGUROS - EIRELI,25079882000153
RVPC,RVPC SERVICOS MEDICOS LTDA,25156814000140
SALOMONC,SALOMON CONSULTING CORRETORA DE SEGUROS - EIRELI,25158816000179
BELOS,BELOS ADMINISTRADORA E CORRETORA DE SEGUROS LIMITADA,25158921000108
VIDARAMO,VIDA RAMOS CORRETORA DE SEGUROS - EIRELI,25298815000120
COTA,COTA DESING & CRIACAO - EIRELI,25298832000167
SUPREME,SUPREME CORRETORA DE SEGUROS LTDA,25370627000165
HOLANDA,HOLANDA E ASSOCIADOS CORRETORA DE SEGUROS LTDA,25452302000121
CLINFRED,CLINICA MEDICA FREDERICO MATEUS PEDREIRA CHAVES EIRELI,25535316000109
IDEALECO,IDEALECORP CONSULTORIA E CORRETAGEM DE SEGUROS - EIRELI,26051455000120
PROTEKTO,PROTEKTO CONSULTORIA EMPRESARIAL E CORRETAGEM DE SEGUROS LTDA.,26136470000170
ESPOSITO,PRISCILLA DO AMARAL CAMARGO ESPOSITO,26208873000188
MEIRELES,MEIRELES & SMART CORRETORA DE SEGUROS - EIRELI,26230856000147
JML,JML PUBLICIDADE LTDA.,26267910000129
123SEGUR,123 SEGURO BARATO CORRETORA DE SEGUROS - EIRELI,26268019000107
OWNIT,OWNIT CORRETORA DE SEGUROS LTDA.,26297740000125
MASCAREN,MASCARENHAS SOCIEDADE INDIVIDUAL DE ADVOCACIA,26300812000146
OBA,OBA ANZENN CORRETORA DE SEGUROS - EIRELI,26317755000108
RANYELMI,RANYELMIX CONSULTORIA E CORRETORA DE SEGUROS - EIRELI,26351177000126
PETER,PETER STRAUSZ CORRETAGEM DE SEGUROS,26364251000149
JPEF,JP&F CORRETORA DE SEGUROS - EIRELI,26369656000170
LUDERO,LUDERO ADMINISTRADORA E CORRETORA DE SEGUROS - EIRELI,26369668000102
JMBG,JMBG CONSTRUCOES E SEGURANCA DO TRABALHO LTDA.,26455144000126
WOHNRATH,WOHNRATH INTELIGENCIA EM NEGOCIOS - EIRELI,26455192000114
ELCID,EL CID CORRETORA DE SEGUROS - EIRELI,26461649000101
GP,GILVANE DO NASCIMENTO PEREIRA,26614736000143
HERZOG,HERZOG CORRETORA E ADMINISTRADORA DE SEGUROS - EIRELI,26696652000104
NAHA,NAHA CONSULTORIA E CORRETORA DE SEGUROS LTDA.,26704687000130
VISION,VISION BROKERS CORRETORA DE SEGUROS - EIRELI,26712384000169
SBENASSI,SBENASSI SERVICOS DE ENGENHARIA - EIRELI,26757523000170
CASALDER,CASAL DE REY CORRETORA DE SEGUROS - EIRELI,26769582000169
SEGUROSO,SEGURO SOB MEDIDA CORRETORA DE SEGUROS E PLANOS DE SAUDE LTDA.,26822971000100
SALUSTIA,SALUSTIANO CORRETORA DE SEGUROS LTDA.,26845605000177
MCP83,MCP83 INTELIGENCIA EM APOIO ADMINISTRATIVO - EIRELI,26845751000100
SELES,SELES CORRETORA DE SEGUROS - EIRELI,26978752000115
GABRIELA,GABRIELA NAKAMURA MATTES DESENVOLVIMENTO E PROJETOS,26984736000135
CHAMA,CHAMA DESIGN DE PRODUTOS LTDA,27009082000191
IUMY,IUMY SERVICOS ADMINISTRATIVOS LTDA.,27079168000190
VERDEX,VERDEX SERVICOS DE APOIO ADMINISTRATIVO - EIRELI,27116902000144
,R.A ASSESSORIA E CONSULTORIA EM POS-VENDAS EIRELI,27125586000177
ELETROTE,ELETROTEC MANUTENCAO DE OBRAS EIRELI,27161514000185
REMASER,REMASER SERVICOS DE APOIO ADMINISTRATIVOS - EIRELI,27170179000181
CARLOSAN,CARLOS ANDRES ALFONSO MUTSCHLER CASTILLO,27181961000104
CSL,CSL CORRETORA DE SEGUROS - EIRELI,27202565000108
,SUN CORRETORA DE SEGUROS DE VIDA LTDA,27288046000104
DISPOR,DISPOR CORRETORA DE SEGUROS - EIRELI,27348292000104
JULISA,JULISA SANTANA CORRETORA DE SEGUROS LTDA.,27364521000184
,MARILENE TESSITORE 10109889800,27382386000108
LASEGBET,LASEG BETA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA.,27384656000101
MELPERRO,MELPERRONE PARTICIPACOES LTDA,27438446000159
DISC,DISC CORRETORA DE SEGUROS E ADMINISTRADORA DE BENEFICIOS LTDA.,27445877000142
BLASQUEZ,BLASQUEZ DA FONTE SOCIEDADE INDIVIDUAL DE ADVOCACIA,27457815000150
THESMART,THE SMART CORRETORA DE SEGUROS - EIRELI,27542242000163
LAIS CHAVES,LAIS CHAVES CONSULTORIA EMPRESARIAL LTDA,27569775000139
DEOLINDA,DEOLINDA APARECIDA MUNHAES DI GRADO,27605566000101
FERNANDA,FERNANDA COUTO DE SOUZA PSICOLOGIA,27699015000146
SUPPORT,SUPPORT ASSESSORIA E CONSULTORIA EM NEGOCIOS LTDA,27708946000163
DICA,DICA CORRETORA DE SEGUROS LTDA,27817571000170
MAGISEG,MAGISEG CORRETORA DE SEGUROS LTDA,27824716000160
CONFIAGI,CONFIAGIL CORRETORA DE SEGUROS - EIRELI,27853938000100
LUGA,LUGA CONSTRUCAO E CONSULTORIA EM GESTAO EMPRESARIAL EIRELI,28032337000108
YASMIN,YASMIN NUNES CORRETORA DE SEGUROS - EIRELI,28222492000189
,DYAMANTE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,28228123000101
FABIO,FABIO RODRIGO DE ABREU,28239466000163
MIRANTE,RESIDENCIAL MIRANTE DO CRUZEIRO SPE LTDA.,28318031000104
AJESEG,AJESEG CONSULTORIA E CORRETORA DE SEGUROS LTDA.,28356093000100
AUTOGLOB,AUTOGLOBAL CORRETORA DE SEGUROS LTDA.,28493670000106
CARLOSED,CARLOS EDUARDO DURAO FILHO,28511498000176
SALAMAOC,SALOMAO CUKIERKORN EMPREENDIMENTOS E PARTICIPACOES LTDA.,28538793000116
CARDOZO,CARDOZO E COSTA SERVICOS DE APOIO ADMINISTRATIVOS LTDA.,28541483000150
VORAZ,VORAZ PRODUTORA DE VIDEO LTDA.,28662448000190
,DJOHN CORRETORA DE PLANOS DE SAUDE E SEGUROS LTDA,28666571000189
SUPERTRA,SUPERTRADE CORRETORA DE SEGUROS LTDA.,28814350000100
IDEARE,IDEARE COACHING E DESENVOLVIMENTO - EIRELI,28844217000105
ROSIKATA,ROSIMEIRE MURAKAMI KATAQUI.,28905267000147
INVESTPR,INVEST PRIME FINANCE CORRETORA DE SEGUROS - EIRELI,29004890000191
LIPT,LIPT CORRETORA DE SEGUROS LTDA.,29027395000106
INFRASEG,INFRASEG CORRETORA DE SEGUROS LTDA.,29062959000133
MARCOMEN,MARCO GIMENES CONSTRUCOES E SERVICOS - EIRELI,29088570000167
FOXPITTY,FOX & PITTY ESTRATEGIC DEVELOPMENT SERVICOS DE APOIO ADMINISTRATIVOS LTDA.,29127368000105
JMORATO,J MORATO CONSULTORIA E CORRETORA DE SEGUROS - EIRELI,29165228000113
KOSARTE,KOSARTE CONSULTORIA EMPRESARIAL LTDA.,29220732000179
NEWWAY,NEW WAY CONSULTORIA & TREINAMENTOS - EIRELI,29235057000151
EVERTON,EVERTON ROCHA DA SILVA APOIO ADMINISTRATIVO,29267699000132
GWSSTHA,GWSSTHA AGN ASSESSORIA FINANCEIRA E ADMINISTRATIVA - EIRELI,29299788000160
SANTOSSI,SANTOS DA SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,29314560000100
KAUE,KAUE CABRAL DE MATTOS SALVATTI,29393764000176
BULAADM,BULA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA.,29425357000101
MARIOOCK,MARIO ELIAS DE MORAES OCKE,29475417000192
LAS,LASTRO CORRETORA DE SEGUROS EIRELI,29485517000108
,MARIA PAULA MARQUES COSTA 31221639854,29497114000170
